symbol,ibkr_session_start,ibkr_session_end,yml_session_start,yml_session_end
QQQ,2000-04-11 09:30:00-04:00,2000-04-11 16:15:00-04:00,2000-04-11 09:30:00-04:00,2000-04-11 16:00:00-04:00
QQQ,2000-04-12 09:30:00-04:00,2000-04-12 16:15:00-04:00,2000-04-12 09:30:00-04:00,2000-04-12 16:00:00-04:00
QQQ,2000-04-13 09:30:00-04:00,2000-04-13 16:15:00-04:00,2000-04-13 09:30:00-04:00,2000-04-13 16:00:00-04:00
QQQ,2000-04-14 09:30:00-04:00,2000-04-14 16:15:00-04:00,2000-04-14 09:30:00-04:00,2000-04-14 16:00:00-04:00
QQQ,2000-04-17 09:30:00-04:00,2000-04-17 16:15:00-04:00,2000-04-17 09:30:00-04:00,2000-04-17 16:00:00-04:00
QQQ,2000-04-18 09:30:00-04:00,2000-04-18 16:15:00-04:00,2000-04-18 09:30:00-04:00,2000-04-18 16:00:00-04:00
QQQ,2000-04-19 09:30:00-04:00,2000-04-19 16:15:00-04:00,2000-04-19 09:30:00-04:00,2000-04-19 16:00:00-04:00
QQQ,2000-04-20 09:30:00-04:00,2000-04-20 16:15:00-04:00,2000-04-20 09:30:00-04:00,2000-04-20 13:00:00-04:00
QQQ,2000-04-21 09:30:00-04:00,2000-04-21 16:15:00-04:00,,
QQQ,2000-04-24 09:30:00-04:00,2000-04-24 16:15:00-04:00,2000-04-24 09:30:00-04:00,2000-04-24 16:00:00-04:00
QQQ,2000-04-25 09:30:00-04:00,2000-04-25 16:15:00-04:00,2000-04-25 09:30:00-04:00,2000-04-25 16:00:00-04:00
QQQ,2000-04-26 09:30:00-04:00,2000-04-26 16:15:00-04:00,2000-04-26 09:30:00-04:00,2000-04-26 16:00:00-04:00
QQQ,2000-04-27 09:30:00-04:00,2000-04-27 16:15:00-04:00,2000-04-27 09:30:00-04:00,2000-04-27 16:00:00-04:00
QQQ,2000-04-28 09:30:00-04:00,2000-04-28 16:15:00-04:00,2000-04-28 09:30:00-04:00,2000-04-28 16:00:00-04:00
QQQ,2000-05-01 09:30:00-04:00,2000-05-01 16:15:00-04:00,2000-05-01 09:30:00-04:00,2000-05-01 16:00:00-04:00
QQQ,2000-05-02 09:30:00-04:00,2000-05-02 16:15:00-04:00,2000-05-02 09:30:00-04:00,2000-05-02 16:00:00-04:00
QQQ,2000-05-03 09:30:00-04:00,2000-05-03 16:15:00-04:00,2000-05-03 09:30:00-04:00,2000-05-03 16:00:00-04:00
QQQ,2000-05-04 09:30:00-04:00,2000-05-04 16:15:00-04:00,2000-05-04 09:30:00-04:00,2000-05-04 16:00:00-04:00
QQQ,2000-05-05 09:30:00-04:00,2000-05-05 16:15:00-04:00,2000-05-05 09:30:00-04:00,2000-05-05 16:00:00-04:00
QQQ,2000-05-08 09:30:00-04:00,2000-05-08 16:15:00-04:00,2000-05-08 09:30:00-04:00,2000-05-08 16:00:00-04:00
QQQ,2000-05-09 09:30:00-04:00,2000-05-09 16:15:00-04:00,2000-05-09 09:30:00-04:00,2000-05-09 16:00:00-04:00
QQQ,2000-05-10 09:30:00-04:00,2000-05-10 16:15:00-04:00,2000-05-10 09:30:00-04:00,2000-05-10 16:00:00-04:00
QQQ,2000-05-11 09:30:00-04:00,2000-05-11 16:15:00-04:00,2000-05-11 09:30:00-04:00,2000-05-11 16:00:00-04:00
QQQ,2000-05-12 09:30:00-04:00,2000-05-12 16:15:00-04:00,2000-05-12 09:30:00-04:00,2000-05-12 16:00:00-04:00
QQQ,2000-05-15 09:30:00-04:00,2000-05-15 16:15:00-04:00,2000-05-15 09:30:00-04:00,2000-05-15 16:00:00-04:00
QQQ,2000-05-16 09:30:00-04:00,2000-05-16 16:15:00-04:00,2000-05-16 09:30:00-04:00,2000-05-16 16:00:00-04:00
QQQ,2000-05-17 09:30:00-04:00,2000-05-17 16:15:00-04:00,2000-05-17 09:30:00-04:00,2000-05-17 16:00:00-04:00
QQQ,2000-05-18 09:30:00-04:00,2000-05-18 16:15:00-04:00,2000-05-18 09:30:00-04:00,2000-05-18 16:00:00-04:00
QQQ,2000-05-19 09:30:00-04:00,2000-05-19 16:15:00-04:00,2000-05-19 09:30:00-04:00,2000-05-19 16:00:00-04:00
QQQ,2000-05-22 09:30:00-04:00,2000-05-22 16:15:00-04:00,2000-05-22 09:30:00-04:00,2000-05-22 16:00:00-04:00
QQQ,2000-05-23 09:30:00-04:00,2000-05-23 16:15:00-04:00,2000-05-23 09:30:00-04:00,2000-05-23 16:00:00-04:00
QQQ,2000-05-24 09:30:00-04:00,2000-05-24 16:15:00-04:00,2000-05-24 09:30:00-04:00,2000-05-24 16:00:00-04:00
QQQ,2000-05-25 09:30:00-04:00,2000-05-25 16:15:00-04:00,2000-05-25 09:30:00-04:00,2000-05-25 16:00:00-04:00
QQQ,2000-05-26 09:30:00-04:00,2000-05-26 16:15:00-04:00,2000-05-26 09:30:00-04:00,2000-05-26 13:00:00-04:00
QQQ,2000-05-29 09:30:00-04:00,2000-05-29 16:15:00-04:00,,
QQQ,2000-05-30 09:30:00-04:00,2000-05-30 16:15:00-04:00,2000-05-30 09:30:00-04:00,2000-05-30 16:00:00-04:00
QQQ,2000-05-31 09:30:00-04:00,2000-05-31 16:15:00-04:00,2000-05-31 09:30:00-04:00,2000-05-31 16:00:00-04:00
QQQ,2000-06-01 09:30:00-04:00,2000-06-01 16:15:00-04:00,2000-06-01 09:30:00-04:00,2000-06-01 16:00:00-04:00
QQQ,2000-06-02 09:30:00-04:00,2000-06-02 16:15:00-04:00,2000-06-02 09:30:00-04:00,2000-06-02 16:00:00-04:00
QQQ,2000-06-05 09:30:00-04:00,2000-06-05 16:15:00-04:00,2000-06-05 09:30:00-04:00,2000-06-05 16:00:00-04:00
QQQ,2000-06-06 09:30:00-04:00,2000-06-06 16:15:00-04:00,2000-06-06 09:30:00-04:00,2000-06-06 16:00:00-04:00
QQQ,2000-06-07 09:30:00-04:00,2000-06-07 16:15:00-04:00,2000-06-07 09:30:00-04:00,2000-06-07 16:00:00-04:00
QQQ,2000-06-08 09:30:00-04:00,2000-06-08 16:15:00-04:00,2000-06-08 09:30:00-04:00,2000-06-08 16:00:00-04:00
QQQ,2000-06-09 09:30:00-04:00,2000-06-09 16:15:00-04:00,2000-06-09 09:30:00-04:00,2000-06-09 16:00:00-04:00
QQQ,2000-06-12 09:30:00-04:00,2000-06-12 16:15:00-04:00,2000-06-12 09:30:00-04:00,2000-06-12 16:00:00-04:00
QQQ,2000-06-13 09:30:00-04:00,2000-06-13 16:15:00-04:00,2000-06-13 09:30:00-04:00,2000-06-13 16:00:00-04:00
QQQ,2000-06-14 09:30:00-04:00,2000-06-14 16:15:00-04:00,2000-06-14 09:30:00-04:00,2000-06-14 16:00:00-04:00
QQQ,2000-06-15 09:30:00-04:00,2000-06-15 16:15:00-04:00,2000-06-15 09:30:00-04:00,2000-06-15 16:00:00-04:00
QQQ,2000-06-16 09:30:00-04:00,2000-06-16 16:15:00-04:00,2000-06-16 09:30:00-04:00,2000-06-16 16:00:00-04:00
QQQ,2000-06-19 09:30:00-04:00,2000-06-19 16:15:00-04:00,2000-06-19 09:30:00-04:00,2000-06-19 16:00:00-04:00
QQQ,2000-06-20 09:30:00-04:00,2000-06-20 16:15:00-04:00,2000-06-20 09:30:00-04:00,2000-06-20 16:00:00-04:00
